10,9,611.0,334.0,38.0,35.0,1,3,1,-1
10,51,38.0,83.0,45.0,37.0,1,3,1,-1
10,61,681.1,35.4,21.5,26.7,1,3,1,-1
10,62,1240.84,41.09,20.4,16.0,1,2,1,-1
10,63,1238.75,83.89,33.0,24.3,1,3,1,-1
11,50,150.08,193.44,43.92,35.85,1,3,1,-1
11,2,804.0,261.0,63.0,53.0,1,1,1,-1
11,36,304.0,270.0,55.0,49.0,1,2,1,-1
11,25,635.0,280.0,50.0,45.0,1,2,1,-1
11,1,761.0,283.0,43.0,43.0,1,2,1,-1
11,40,608.0,216.0,28.0,25.0,1,2,1,-1
11,59,184.0,215.0,47.0,46.0,1,3,1,-1
11,13,731.0,311.0,25.0,26.0,1,2,1,-1
11,51,95.0,78.0,45.0,38.0,1,3,1,-1
11,49,184.0,105.0,51.0,34.0,1,3,1,-1
11,9,664.0,331.0,38.0,35.0,1,3,1,-1
11,14,1195.0,243.0,67.6,34.0,1,2,1,-1
11,48,1170.46,43.98,32.4,20.4,1,3,1,-1
11,10,831.2,102.0,48.5,34.1,1,3,1,-1
11,28,902.1,52.0,39.2,27.9,1,3,1,-1
11,12,731.26,277.13,34.1,23.7,1,2,1,-1
11,64,920.72,11.63,17.5,22.5,1,2,1,-1
11,65,867.9,76.6,16.4,18.8,1,2,1,-1
11,66,241.6,283.09,39.75,42.68,1,3,1,-1
11,67,725.2,33.4,23.0,27.0,1,2,1,-1
12,36,383.0,267.0,57.0,49.0,1,2,1,-1
12,59,241.96,188.21,44.8,32.3,1,3,1,-1
12,25,725.0,282.0,56.0,46.0,1,2,1,-1
12,9,750.0,335.0,38.0,35.0,1,3,1,-1
12,49,276.0,98.0,52.0,35.0,1,3,1,-1
12,13,848.0,316.0,25.0,26.0,1,2,1,-1
12,12,866.0,288.0,30.0,34.0,1,2,1,-1
12,40,717.0,218.0,30.0,26.0,1,2,1,-1
12,1,833.0,282.0,29.0,26.0,1,2,1,-1
12,48,1233.58,53.65,32.39,20.7,1,3,1,-1
12,60,999.11,10.91,45.8,34.3,1,3,1,-1
12,10,921.77,104.81,56.8,34.5,1,3,1,-1
12,28,893.6,43.8,36.7,37.2,1,3,1,-1
12,2,892.0,264.0,67.0,54.0,1,1,1,-1
12,67,759.47,33.66,18.86,21.31,1,2,1,-1
12,51,180.86,70.06,50.7,42.2,1,3,1,-1
12,66,270.96,210.61,50.6,47.6,1,3,1,-1
12,68,383.0,267.0,57.0,50.0,1,2,1,-1
12,69,330.58,280.9,37.0,39.4,1,2,1,-1
